factor,gini_concentration,top_mass_fraction,top_indices,top_wavelengths,top_weights,max_weight,mean_weight,interp
0,0.33,0.015141241,[712 713 714 711 715],[3272 3276 3280 3268 3284],[0.31241978 0.301794   0.28218748 0.27722577 0.26834874],0.312419776,0.105816643,"O-H stretch (water, alcohols)"
1,0.15,0.009202573,[365 366 711 149 173],[1921 1925 3268 1080 1174],[0.16592282 0.16053792 0.15991379 0.15626499 0.15518843],0.165922819,0.09632909,Mixed / overlapping bands
2,0.15,0.009692353,[806 807 695 805 678],[3638 3642 3206 3634 3140],[0.24953258 0.24143684 0.23293812 0.2328758  0.23118153],0.249532584,0.136185814,Mixed / overlapping bands
3,0.19,0.01132053,[784 645 674 644 673],[3552 3011 3124 3007 3120],[0.34325734 0.3409147  0.33899678 0.3379907  0.33763847],0.34325734,0.166737185,"O-H stretch (water, alcohols)"
4,0.17,0.009840062,[287 462 378 377 525],[1617 2299 1972 1968 2544],[0.35937684 0.35170859 0.35166202 0.3400483  0.33215664],0.359376836,0.195905762,Amide I / C=O stretch (proteins)
5,0.20,0.01160396,[311 312 684 313 763],[1711 1715 3163 1719 3471],[0.31829508 0.31540681 0.31359571 0.30812558 0.30544308],0.318295084,0.149457244,"C=O ester stretch (lipids, esters)"
6,0.19,0.010724519,[806 208 207 805 631],[3638 1310 1306 3634 2957],[0.32358669 0.32023742 0.31669474 0.31262452 0.30913099],0.323586693,0.163931135,Mixed / overlapping bands
7,0.17,0.010331456,[438  72 439 437  71],[2205  780 2209 2201  776],[0.35815177 0.35745949 0.35572566 0.35261418 0.35130222],0.358151766,0.190922134,Mixed / overlapping bands
8,0.17,0.010751338,[700 701 207 699 698],[3225 3229 1306 3221 3217],[0.28396488 0.28307162 0.28204206 0.28095196 0.28077999],0.283964882,0.145802063,"O-H stretch (water, alcohols)"
9,0.15,0.009274409,[405 620 406  73 191],[2077 2914 2081  784 1244],[0.31341588 0.30692083 0.30600871 0.30497671 0.30160171],0.313415882,0.183650371,Mixed / overlapping bands
10,0.19,0.010605528,[434 806 438 435 437],[2190 3638 2205 2194 2201],[0.33496901 0.33454939 0.33432248 0.33242039 0.33212997],0.334969011,0.174792623,Mixed / overlapping bands
11,0.15,0.010611941,[696 697 806 807 695],[3210 3214 3638 3642 3206],[0.33692648 0.31721805 0.31541397 0.31537848 0.31174341],0.336926477,0.167178587,"O-H stretch (water, alcohols)"
12,0.16,0.009327021,[702 701 405 572 700],[3233 3229 2077 2727 3225],[0.27959185 0.27848065 0.27711769 0.27671063 0.27469433],0.27959185,0.16518256,"O-H stretch (water, alcohols)"
13,0.19,0.011397019,[313 312 314 311 850],[1719 1715 1722 1711 3809],[0.33921112 0.32977268 0.32723774 0.31789635 0.3159025 ],0.339211117,0.158912939,"C=O ester stretch (lipids, esters)"
14,0.16,0.009202417,[682 681 680 678 728],[3155 3151 3147 3140 3334],[0.29541883 0.28755869 0.28395526 0.28198361 0.27659507],0.295418835,0.172118003,"O-H stretch (water, alcohols)"
15,0.19,0.011581217,[626 625 624 627 628],[2937 2933 2929 2941 2945],[0.36983989 0.36698889 0.35945372 0.35680289 0.34024997],0.369839889,0.172054012,"C-H stretch (lipids, waxes)"
