factor,H_stat,p_value,eta_sq,spearman_rho,spearman_p,mean_score,std_score,q_value_BH,significant_BH
0,209.61,1.45E-37,0.58,0.16,0.003451806,0.40163109,0.175979935,7.71E-37,TRUE
1,127.93,5.41E-21,0.34,-0.10,0.057644418,0.328709574,0.08078415,9.61E-21,TRUE
2,141.37,1.12E-23,0.38,0.12,0.020155833,0.233371081,0.05372331,3.58E-23,TRUE
3,132.46,6.76E-22,0.35,0.11,0.046182999,0.204566366,0.070686867,1.55E-21,TRUE
4,47.64,7.53E-06,0.10,0.06,0.286811247,0.18510287,0.035009398,7.53E-06,TRUE
5,258.69,1.00E-47,0.72,-0.22,3.38E-05,0.177278643,0.097618767,8.02E-47,TRUE
6,148.37,4.39E-25,0.40,-0.17,0.001344109,0.176269334,0.055777818,1.76E-24,TRUE
7,132.07,8.08E-22,0.35,0.09,0.084446285,0.195355709,0.039842054,1.62E-21,TRUE
8,77.58,3.14E-11,0.19,0.19,0.000363625,0.182576785,0.051360322,3.59E-11,TRUE
9,102.12,6.43E-16,0.26,0.29,4.23E-08,0.176581393,0.037405563,9.35E-16,TRUE
10,104.02,2.75E-16,0.27,-0.23,1.53E-05,0.180850243,0.051825366,4.40E-16,TRUE
11,89.89,1.47E-13,0.23,-0.01,0.895160336,0.153461777,0.053941538,1.96E-13,TRUE
12,61.55,2.77E-08,0.14,-0.01,0.872664119,0.187620079,0.054584407,2.96E-08,TRUE
13,266.35,2.55E-49,0.75,-0.37,9.33E-13,0.160072574,0.07759735,4.07E-48,TRUE
14,133.13,4.98E-22,0.35,0.17,0.001278973,0.165254787,0.048680064,1.33E-21,TRUE
15,89.69,1.60E-13,0.23,-0.21,8.30E-05,0.194642948,0.056469967,1.97E-13,TRUE
